healthPercent,manaPercent,matchid,name,gameTime
100.0,100.0,5386235108,S1N1ST3R,167
100.0,100.0,5386235108,S1N1ST3R,169
100.0,100.0,5386235108,S1N1ST3R,170
100.0,100.0,5386235108,S1N1ST3R,171
100.0,100.0,5386235108,S1N1ST3R,172
100.0,100.0,5386235108,S1N1ST3R,173
100.0,100.0,5386235108,S1N1ST3R,174
100.0,100.0,5386235108,S1N1ST3R,175
100.0,100.0,5386235108,S1N1ST3R,176
100.0,100.0,5386235108,S1N1ST3R,177
100.0,100.0,5386235108,S1N1ST3R,178
100.0,100.0,5386235108,S1N1ST3R,179
100.0,100.0,5386235108,S1N1ST3R,180
100.0,100.0,5386235108,S1N1ST3R,181
100.0,100.0,5386235108,S1N1ST3R,182
100.0,100.0,5386235108,S1N1ST3R,183
100.0,100.0,5386235108,S1N1ST3R,183
100.0,100.0,5386235108,S1N1ST3R,184
100.0,100.0,5386235108,S1N1ST3R,185
100.0,100.0,5386235108,S1N1ST3R,185
100.0,100.0,5386235108,S1N1ST3R,186
100.0,100.0,5386235108,S1N1ST3R,187
100.0,100.0,5386235108,S1N1ST3R,188
100.0,100.0,5386235108,S1N1ST3R,189
100.0,100.0,5386235108,S1N1ST3R,190
100.0,100.0,5386235108,S1N1ST3R,191
100.0,100.0,5386235108,S1N1ST3R,192
100.0,100.0,5386235108,S1N1ST3R,192
100.0,100.0,5386235108,S1N1ST3R,193
100.0,100.0,5386235108,S1N1ST3R,193
100.0,100.0,5386235108,S1N1ST3R,194
100.0,100.0,5386235108,S1N1ST3R,194
100.0,100.0,5386235108,S1N1ST3R,195
100.0,100.0,5386235108,S1N1ST3R,195
100.0,100.0,5386235108,S1N1ST3R,196
100.0,100.0,5386235108,S1N1ST3R,196
100.0,100.0,5386235108,S1N1ST3R,197
100.0,100.0,5386235108,S1N1ST3R,197
100.0,100.0,5386235108,S1N1ST3R,198
100.0,100.0,5386235108,S1N1ST3R,198
100.0,100.0,5386235108,S1N1ST3R,198
100.0,100.0,5386235108,S1N1ST3R,199
100.0,100.0,5386235108,S1N1ST3R,199
100.0,100.0,5386235108,S1N1ST3R,200
100.0,100.0,5386235108,S1N1ST3R,200
100.0,100.0,5386235108,S1N1ST3R,201
100.0,100.0,5386235108,S1N1ST3R,201
